Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Tax class,Virtual,Downloadable
simple,lifetime-1,Lifetime Fitness Coaching - 1 Member,1,0,visible,"One-time payment for lifetime access","Get lifetime access to our fitness coaching program for 1 member. Pay once, train forever!",taxable,1,,289,Lifetime Plans,,,,,,,,,,,,,virtual,0
simple,lifetime-2,Lifetime Fitness Coaching - 2 Members,1,0,visible,"One-time payment for 2 members","Perfect for couples! Lifetime access for 2 members.",taxable,1,,416,Lifetime Plans,,,,,,,,,,,,,virtual,0
simple,lifetime-3,Lifetime Fitness Coaching - 3 Members,1,0,visible,"One-time payment for 3 members","Great for small groups! Lifetime access for 3 members.",taxable,1,,543,Lifetime Plans,,,,,,,,,,,,,virtual,0
simple,lifetime-4,Lifetime Fitness Coaching - 4 Members,1,0,visible,"One-time payment for 4 members","Ideal for families! Lifetime access for 4 members.",taxable,1,,670,Lifetime Plans,,,,,,,,,,,,,virtual,0
simple,lifetime-5,Lifetime Fitness Coaching - 5 Members,1,0,visible,"One-time payment for 5 members - Family Plan","Our biggest family plan! Lifetime access for 5 members.",taxable,1,,797,Lifetime Plans,"Family Plan, Best Value",,,,,,,,,,,,virtual,0
simple,sub-1,1 Month Fitness Coaching Subscription,1,0,visible,"$10.99 per month","Try our fitness coaching with a flexible monthly subscription.",taxable,1,,10.99,Subscriptions,,,,,,,,,,,,,virtual,0
simple,sub-3,3 Months Fitness Coaching Subscription,1,0,visible,"$8.66/month - Save 21%","Commit to 3 months and save! Only $8.66 per month.",taxable,1,,25.99,Subscriptions,,,,,,,,,,,,,virtual,0
simple,sub-6,6 Months Fitness Coaching Subscription,1,0,visible,"$6.67/month - Save 39%","Half year commitment with great savings! Only $6.67 per month.",taxable,1,,39.99,Subscriptions,,,,,,,,,,,,,virtual,0
simple,sub-12,12 Months Fitness Coaching Subscription,1,0,visible,"$5.00/month - Most Popular!","Our most popular plan! Full year access for only $5.00 per month.",taxable,1,,59.99,Subscriptions,"Most Popular, Best Seller",,,,,,,,,,,,virtual,0
simple,sub-24,24 Months Fitness Coaching Subscription,1,0,visible,"$4.17/month - Best Deal!","The ultimate commitment! 2 years of access for only $4.17 per month.",taxable,1,,99.99,Subscriptions,"Best Deal, Maximum Savings",,,,,,,,,,,,virtual,0
